"2018/2019","2","1","4","20","38950","HND SCIENCES - MORNING - SCHOOL FEE","6","2185"
"2018/2019","2","1","4","19","38950","HND SCIENCES - MORNING - SCHOOL FEE","6","2186"
"2018/2019","2","1","4","17","38950","HND SCIENCES - MORNING - SCHOOL FEE","6","2187"
"2018/2019","2","1","4","16","38950","HND SCIENCES - MORNING - SCHOOL FEE","6","2188"
"2018/2019","2","1","4","8","38950","HND SCIENCES - MORNING - SCHOOL FEE","6","2189"
"2018/2019","2","1","4","43","38950","HND SCIENCES - MORNING - SCHOOL FEE","6","2190"
"2018/2019","2","1","4","5","38950","HND SCIENCES - MORNING - SCHOOL FEE","6","2191"
"2018/2019","2","1","4","10","38950","HND SCIENCES - MORNING - SCHOOL FEE","6","2192"
"2018/2019","2","1","4","39","38950","HND SCIENCES - MORNING - SCHOOL FEE","6","2193"
"2018/2019","2","1","4","27","38950","HND SCIENCES - MORNING - SCHOOL FEE","6","2194"
"2018/2019","2","1","4","30","38950","HND SCIENCES - MORNING - SCHOOL FEE","6","2195"
"2018/2019","2","1","4","26","38950","HND SCIENCES - MORNING - SCHOOL FEE","6","2196"
"2018/2019","2","1","4","28","38950","HND SCIENCES - MORNING - SCHOOL FEE","6","2197"
"2018/2019","2","1","4","11","38950","HND SCIENCES - MORNING - SCHOOL FEE","6","2198"
"2018/2019","2","1","4","45","38950","HND SCIENCES - MORNING - SCHOOL FEE","6","2199"
"2018/2019","2","1","4","29","38950","HND SCIENCES - MORNING - SCHOOL FEE","6","2200"
"2018/2019","2","1","4","31","38450","HND OTHER COURSES - MORNING - SCHOOL FEE","7","2201"
"2018/2019","2","1","4","6","38450","HND SCIENCES - MORNING - SCHOOL FEE","7","2202"
"2018/2019","2","1","4","40","38450","HND SCIENCES - MORNING - SCHOOL FEE","7","2203"
"2018/2019","2","1","4","42","38450","HND SCIENCES - MORNING - SCHOOL FEE","7","2204"
"2018/2019","2","1","4","41","38450","HND SCIENCES - MORNING - SCHOOL FEE","7","2205"
"2018/2019","2","1","4","18","38450","HND SCIENCES - MORNING - SCHOOL FEE","7","2206"
"2018/2019","2","1","4","4","38450","HND SCIENCES - MORNING - SCHOOL FEE","7","2207"
"2018/2019","2","1","4","7","38450","HND SCIENCES - MORNING - SCHOOL FEE","7","2208"
"2018/2019","2","1","4","9","38450","HND SCIENCES - MORNING - SCHOOL FEE","7","2209"
"2018/2019","2","1","4","1","38450","HND SCIENCES - MORNING - SCHOOL FEE","7","2210"
"2018/2019","2","1","4","13","38450","HND SCIENCES - MORNING - SCHOOL FEE","7","2211"
"2018/2019","2","1","4","2","38450","HND SCIENCES - MORNING - SCHOOL FEE","7","2212"
"2018/2019","2","1","4","21","38450","HND SCIENCES - MORNING - SCHOOL FEE","7","2213"
"2018/2019","2","1","4","22","38450","HND SCIENCES - MORNING - SCHOOL FEE","7","2214"
"2018/2019","2","1","4","23","38450","HND SCIENCES - MORNING - SCHOOL FEE","7","2215"
"2018/2019","2","1","4","24","38450","HND SCIENCES - MORNING - SCHOOL FEE","7","2216"
"2018/2019","2","1","4","25","38450","HND SCIENCES - MORNING - SCHOOL FEE","7","2217"
"2018/2019","2","1","4","12","38450","HND SHSS - MORNING - SCHOOL FEE","7","2218"
"2018/2019","2","1","4","36","35950","HND OTHER COURSES - MORNING - SCHOOL FEE","8","2219"
"2018/2019","2","1","4","34","35950","HND OTHER COURSES - MORNING - SCHOOL FEE","8","2220"
"2018/2019","2","1","4","33","35950","HND OTHER COURSES - MORNING - SCHOOL FEE","8","2221"
"2018/2019","2","1","4","37","35950","HND OTHER COURSES - MORNING - SCHOOL FEE","8","2222"
"2018/2019","2","1","4","38","35950","HND OTHER COURSES - MORNING - SCHOOL FEE","8","2223"
"2018/2019","2","1","4","32","35950","HND OTHER COURSES - MORNING - SCHOOL FEE","8","2224"
"2018/2019","2","1","4","35","35950","HND OTHER COURSES - MORNING - SCHOOL FEE","8","2225"
"2018/2019","2","1","4","3","35950","HND OTHER COURSES - MORNING - SCHOOL FEE","8","2226"
"2018/2019","2","2","4","31","26550","HND OTHER COURSES - MORNING - SCHOOL FEE","9","2227"
"2018/2019","2","2","4","20","26550","HND SCIENCES - MORNING - SCHOOL FEE","9","2228"
"2018/2019","2","2","4","19","26550","HND SCIENCES - MORNING - SCHOOL FEE","9","2229"
"2018/2019","2","2","4","17","26550","HND SCIENCES - MORNING - SCHOOL FEE","9","2230"
"2018/2019","2","2","4","16","26550","HND SCIENCES - MORNING - SCHOOL FEE","9","2231"
"2018/2019","2","2","4","8","26550","HND SCIENCES - MORNING - SCHOOL FEE","9","2232"
"2018/2019","2","2","4","43","26550","HND SCIENCES - MORNING - SCHOOL FEE","9","2233"
"2018/2019","2","2","4","5","26550","HND SCIENCES - MORNING - SCHOOL FEE","9","2234"
"2018/2019","2","2","4","10","26550","HND SCIENCES - MORNING - SCHOOL FEE","9","2235"
"2018/2019","2","2","4","39","26550","HND SCIENCES - MORNING - SCHOOL FEE","9","2236"
"2018/2019","2","2","4","27","26550","HND SCIENCES - MORNING - SCHOOL FEE","9","2237"
"2018/2019","2","2","4","30","26550","HND SCIENCES - MORNING - SCHOOL FEE","9","2238"
"2018/2019","2","2","4","26","26550","HND SCIENCES - MORNING - SCHOOL FEE","9","2239"
"2018/2019","2","2","4","28","26550","HND SCIENCES - MORNING - SCHOOL FEE","9","2240"
"2018/2019","2","2","4","11","26550","HND SCIENCES - MORNING - SCHOOL FEE","9","2241"
"2018/2019","2","2","4","45","26550","HND SCIENCES - MORNING - SCHOOL FEE","9","2242"
"2018/2019","2","2","4","29","26550","HND SCIENCES - MORNING - SCHOOL FEE","9","2243"
"2018/2019","2","2","4","6","26550","HND SCIENCES - MORNING - SCHOOL FEE","9","2244"
"2018/2019","2","2","4","40","26550","HND SCIENCES - MORNING - SCHOOL FEE","9","2245"
"2018/2019","2","2","4","42","26550","HND SCIENCES - MORNING - SCHOOL FEE","9","2246"
"2018/2019","2","2","4","41","26550","HND SCIENCES - MORNING - SCHOOL FEE","9","2247"
"2018/2019","2","2","4","18","26550","HND SCIENCES - MORNING - SCHOOL FEE","9","2248"
"2018/2019","2","2","4","4","26550","HND SCIENCES - MORNING - SCHOOL FEE","9","2249"
"2018/2019","2","2","4","7","26550","HND SCIENCES - MORNING - SCHOOL FEE","9","2250"
"2018/2019","2","2","4","9","26550","HND SCIENCES - MORNING - SCHOOL FEE","9","2251"
"2018/2019","2","2","4","1","26550","HND SCIENCES - MORNING - SCHOOL FEE","9","2252"
"2018/2019","2","2","4","13","26550","HND SCIENCES - MORNING - SCHOOL FEE","9","2253"
"2018/2019","2","2","4","2","26550","HND SCIENCES - MORNING - SCHOOL FEE","9","2254"
"2018/2019","2","2","4","21","26550","HND SCIENCES - MORNING - SCHOOL FEE","9","2255"
"2018/2019","2","2","4","22","26550","HND SCIENCES - MORNING - SCHOOL FEE","9","2256"
"2018/2019","2","2","4","23","26550","HND SCIENCES - MORNING - SCHOOL FEE","9","2257"
"2018/2019","2","2","4","24","26550","HND SCIENCES - MORNING - SCHOOL FEE","9","2258"
"2018/2019","2","2","4","25","26550","HND SCIENCES - MORNING - SCHOOL FEE","9","2259"
"2018/2019","2","2","4","12","26550","HND SHSS - MORNING - SCHOOL FEE","9","2260"
"2018/2019","2","2","4","36","25800","HND OTHER COURSES - MORNING - SCHOOL FEE","10","2261"
"2018/2019","2","2","4","34","25800","HND OTHER COURSES - MORNING - SCHOOL FEE","10","2262"
"2018/2019","2","2","4","33","25800","HND OTHER COURSES - MORNING - SCHOOL FEE","10","2263"
"2018/2019","2","2","4","37","25800","HND OTHER COURSES - MORNING - SCHOOL FEE","10","2264"
"2018/2019","2","2","4","38","25800","HND OTHER COURSES - MORNING - SCHOOL FEE","10","2265"
"2018/2019","2","2","4","32","25800","HND OTHER COURSES - MORNING - SCHOOL FEE","10","2266"
"2018/2019","2","2","4","35","25800","HND OTHER COURSES - MORNING - SCHOOL FEE","10","2267"
"2018/2019","2","2","4","3","25800","HND OTHER COURSES - MORNING - SCHOOL FEE","10","2268"
"2018/2019","2","1","2","20","43800","ND SCIENCES - EVENING - SCHOOL FEE","11","2269"
"2018/2019","2","1","2","19","43800","ND SCIENCES - EVENING - SCHOOL FEE","11","2270"
"2018/2019","2","1","2","17","43800","ND SCIENCES - EVENING - SCHOOL FEE","11","2271"
"2018/2019","2","1","2","16","43800","ND SCIENCES - EVENING - SCHOOL FEE","11","2272"
"2018/2019","2","1","2","8","43800","ND SCIENCES - EVENING - SCHOOL FEE","11","2273"
"2018/2019","2","1","2","43","43800","ND SCIENCES - EVENING - SCHOOL FEE","11","2274"
"2018/2019","2","1","2","5","43800","ND SCIENCES - EVENING - SCHOOL FEE","11","2275"
"2018/2019","2","1","2","10","43800","ND SCIENCES - EVENING - SCHOOL FEE","11","2276"
"2018/2019","2","1","2","39","43800","ND SCIENCES - EVENING - SCHOOL FEE","11","2277"
"2018/2019","2","1","2","27","43800","ND SCIENCES - EVENING - SCHOOL FEE","11","2278"
"2018/2019","2","1","2","30","43800","ND SCIENCES - EVENING - SCHOOL FEE","11","2279"
"2018/2019","2","1","2","26","43800","ND SCIENCES - EVENING - SCHOOL FEE","11","2280"
"2018/2019","2","1","2","28","43800","ND SCIENCES - EVENING - SCHOOL FEE","11","2281"
"2018/2019","2","1","2","11","43800","ND SCIENCES - EVENING - SCHOOL FEE","11","2282"
"2018/2019","2","1","2","45","43800","ND SCIENCES - EVENING - SCHOOL FEE","11","2283"
"2018/2019","2","1","2","29","43800","ND SCIENCES - EVENING - SCHOOL FEE","11","2284"
"2018/2019","2","1","2","31","43300","ND OTHER COURSES - EVENING - SCHOOL FEE","12","2285"
"2018/2019","2","1","2","6","43300","ND SCIENCES - EVENING - SCHOOL FEE","12","2286"
"2018/2019","2","1","2","40","43300","ND SCIENCES - EVENING - SCHOOL FEE","12","2287"
"2018/2019","2","1","2","42","43300","ND SCIENCES - EVENING - SCHOOL FEE","12","2288"
"2018/2019","2","1","2","41","43300","ND SCIENCES - EVENING - SCHOOL FEE","12","2289"
"2018/2019","2","1","2","18","43300","ND SCIENCES - EVENING - SCHOOL FEE","12","2290"
"2018/2019","2","1","2","4","43300","ND SCIENCES - EVENING - SCHOOL FEE","12","2291"
"2018/2019","2","1","2","7","43300","ND SCIENCES - EVENING - SCHOOL FEE","12","2292"
"2018/2019","2","1","2","9","43300","ND SCIENCES - EVENING - SCHOOL FEE","12","2293"
"2018/2019","2","1","2","1","43300","ND SCIENCES - EVENING - SCHOOL FEE","12","2294"
"2018/2019","2","1","2","13","43300","ND SCIENCES - EVENING - SCHOOL FEE","12","2295"
"2018/2019","2","1","2","2","43300","ND SCIENCES - EVENING - SCHOOL FEE","12","2296"
"2018/2019","2","1","2","21","43300","ND SCIENCES - EVENING - SCHOOL FEE","12","2297"
"2018/2019","2","1","2","22","43300","ND SCIENCES - EVENING - SCHOOL FEE","12","2298"
"2018/2019","2","1","2","23","43300","ND SCIENCES - EVENING - SCHOOL FEE","12","2299"
"2018/2019","2","1","2","24","43300","ND SCIENCES - EVENING - SCHOOL FEE","12","2300"
"2018/2019","2","1","2","25","43300","ND SCIENCES - EVENING - SCHOOL FEE","12","2301"
"2018/2019","2","1","2","12","43300","ND SHSS - EVENING - SCHOOL FEE","12","2302"
"2018/2019","2","1","2","36","40550","ND OTHER COURSES - EVENING - SCHOOL FEE","13","2303"
"2018/2019","2","1","2","34","40550","ND OTHER COURSES - EVENING - SCHOOL FEE","13","2304"
"2018/2019","2","1","2","33","40550","ND OTHER COURSES - EVENING - SCHOOL FEE","13","2305"
"2018/2019","2","1","2","37","40550","ND OTHER COURSES - EVENING - SCHOOL FEE","13","2306"
"2018/2019","2","1","2","38","40550","ND OTHER COURSES - EVENING - SCHOOL FEE","13","2307"
"2018/2019","2","1","2","32","40550","ND OTHER COURSES - EVENING - SCHOOL FEE","13","2308"
"2018/2019","2","1","2","35","40550","ND OTHER COURSES - EVENING - SCHOOL FEE","13","2309"
"2018/2019","2","1","2","3","40550","ND OTHER COURSES - EVENING - SCHOOL FEE","13","2310"
"2018/2019","2","2","2","31","27650","ND OTHER COURSES - EVENING - SCHOOL FEE","14","2311"
"2018/2019","2","2","2","20","27650","ND SCIENCES - EVENING - SCHOOL FEE","14","2312"
"2018/2019","2","2","2","19","27650","ND SCIENCES - EVENING - SCHOOL FEE","14","2313"
"2018/2019","2","2","2","17","27650","ND SCIENCES - EVENING - SCHOOL FEE","14","2314"
"2018/2019","2","2","2","16","27650","ND SCIENCES - EVENING - SCHOOL FEE","14","2315"
"2018/2019","2","2","2","8","27650","ND SCIENCES - EVENING - SCHOOL FEE","14","2316"
"2018/2019","2","2","2","43","27650","ND SCIENCES - EVENING - SCHOOL FEE","14","2317"
"2018/2019","2","2","2","5","27650","ND SCIENCES - EVENING - SCHOOL FEE","14","2318"
"2018/2019","2","2","2","10","27650","ND SCIENCES - EVENING - SCHOOL FEE","14","2319"
"2018/2019","2","2","2","39","27650","ND SCIENCES - EVENING - SCHOOL FEE","14","2320"
"2018/2019","2","2","2","27","27650","ND SCIENCES - EVENING - SCHOOL FEE","14","2321"
"2018/2019","2","2","2","30","27650","ND SCIENCES - EVENING - SCHOOL FEE","14","2322"
"2018/2019","2","2","2","26","27650","ND SCIENCES - EVENING - SCHOOL FEE","14","2323"
"2018/2019","2","2","2","28","27650","ND SCIENCES - EVENING - SCHOOL FEE","14","2324"
"2018/2019","2","2","2","11","27650","ND SCIENCES - EVENING - SCHOOL FEE","14","2325"
